"perceptual decision making" -- "attention"
"geotechnical engineering" -- "soil behavior"
"geotechnical engineering" -- "metaheuristic optimization"
"geotechnical engineering" -- "offshore engineering"
"geotechnical engineering" -- "pipe"
"geotechnical engineering" -- "offshore geotechnics"
"geotechnical engineering" -- "random fields"
"geotechnical engineering" -- "geosynthetics"
"geotechnical engineering" -- "geological engineering"
"geotechnical engineering" -- "slope stability"
"geotechnical engineering" -- "soil-atmosphere interaction"
"geotechnical engineering" -- "geomechanics"
"geotechnical engineering" -- "enviromental engineering"
"geotechnical engineering" -- "underground engineering"
"geotechnical engineering" -- "field testing"
"geotechnical engineering" -- "pavement design"
"geotechnical engineering" -- "mechanics of granular materials"
"geotechnical engineering" -- "pile foundations"
"geotechnical engineering" -- "ground improvement techniques"
"geotechnical engineering" -- "retaining walls"
"geotechnical engineering" -- "soil improvement"
"geotechnical engineering" -- "deep foundations"
"geotechnical engineering" -- "asphalt recycling"
"geotechnical engineering" -- "soil reinforcement"
"geotechnical engineering" -- "piles"
"geotechnical engineering" -- "civil engineering"
"geotechnical engineering" -- "pipeline engineering"
"geotechnical engineering" -- "earth dams"
"geotechnical engineering" -- "energy geotechnology"
"geotechnical engineering" -- "centrifuge modelling"
"geotechnical engineering" -- "site characterization"
"geotechnical engineering" -- "computational geomechanics"
"geotechnical engineering" -- "soil dynamics"
"geotechnical engineering" -- "experimental soil mechanics"
"geotechnical engineering" -- "recycled materials"
"geotechnical engineering" -- "soil mechanics"
"geotechnical engineering" -- "unsaturated soils"
"geotechnical engineering" -- "thm"
"geotechnical engineering" -- "mine closure"
"geotechnical engineering" -- "transportation geotechnics"
"small groups" -- "social psychology"
"sharks" -- "ecology"
"sharks" -- "rays"
"ultrasond" -- "photoacoustics"
"nanoscale science" -- "chemical synthesis"
"cars microscopy" -- "raman optical activity"
"cars microscopy" -- "molecular pathology"
"public open space" -- "gis"
"laser material processing" -- "advanced manufacturing processes"
"laser material processing" -- "subsurface processes"
"laser material processing" -- "laser cutting"
"laser material processing" -- "aluminium"
"laser material processing" -- "additive manufacturing"
"laser material processing" -- "laser development"
"laser material processing" -- "finite element simulation"
"pediatria" -- "neonatologia"
"pediatria" -- "medicina"
"pediatria" -- "urologia pediatrica"
"pediatria" -- "telemedicina"
"crops" -- "soil science"
"resource recovery" -- "wastewater treatment"
"multiscale modeling" -- "cell mechanobiology"
"multiscale modeling" -- "data mining machine learning"
"multiscale modeling" -- "nonequilibrium phenomena"
"multiscale modeling" -- "computational fracture mechanics"
"multiscale modeling" -- "elasto-plasticity"
"multiscale modeling" -- "crystal plasticity"
"multiscale modeling" -- "mechanics of soft materials"
"multiscale modeling" -- "quantum chemical calculations"
"multiscale modeling" -- "implicit solvent models"
"multiscale modeling" -- "unconventional oil"
"multiscale modeling" -- "vascular biomechanics"
"multiscale modeling" -- "musculoskeletal research"
"multiscale modeling" -- "run-to-run control"
"multiscale modeling" -- "complexity reduction"
"greenland" -- "polar oceanography"
"greenland" -- "antarctica"
"tactile sensor" -- "soft actuators"
"labour law" -- "social security law"
"labour law" -- "employment law"
"labour law" -- "asian business"
"heat transfer enhancement" -- "micro"
"complex disease genetics" -- "epilepsy genetics"
"arctic" -- "polar microbiology"
"arctic" -- "climate change"
"arctic" -- "antarctic"
"arctic" -- "sea ice"
"arctic" -- "lake ice"
"pedologia" -- "geomorfologia"
"engagement" -- "motivation"
"culinary tourism" -- "consumer behaviour"
"environmental economics" -- "climate change economics"
"environmental economics" -- "natural capital accounting"
"environmental economics" -- "forest products marketing"
"environmental economics" -- "environmental valuation"
"environmental economics" -- "esm"
"environmental economics" -- "market integration"
"environmental economics" -- "weather risk management"
"environmental economics" -- "water economics"
"environmental economics" -- "peace economics"
"environmental economics" -- "energy economics"
"environmental economics" -- "agricultural economics"
"environmental economics" -- "peer effects"
"environmental economics" -- "policy design"
"environmental economics" -- "pro-environmental behavior"
"environmental economics" -- "consumer choice models"
"environmental economics" -- "international environmental agreements"
"american indian history" -- "labor history"
"li-air batteries" -- "fuel cells"
"experiential education" -- "transformative education"
"experiential education" -- "sport pedagogy"
"particle dispersion" -- "flexible device"
"particle dispersion" -- "dewatering"
"palladium" -- "continuous flow"
"cancer gene therapy" -- "vaccine development"
"smart energy" -- "smart grid"
"vasopressin" -- "oxytocin"
"alternative energy" -- "materials science"
"alternative energy" -- "catalyse"
"shear" -- "bond"
"shear" -- "reinforced concrete"
"wto law" -- "international economic law"
"knihovnictví" -- "informační věda"
"knihovnictví" -- "pedagogika"
"commonsense reasoning" -- "natrual language processing"
"commonsense reasoning" -- "natural language understanding"
"department of molecular" -- "cellular"
"digital marketing" -- "branding"
"digital marketing" -- "consumer financial decision making"
"men s health" -- "health disparities"
"electronic nose" -- "pattern recognition"
"multicore systems" -- "computer architecture"
"mercury" -- "biogeochemistry"
"structural molecular biology" -- "bioinformatics"
"design space exploration" -- "computer architecture"
"control automatico" -- "enologia"
"control automatico" -- "control theory"
"control automatico" -- "biosistemas"
"elettromagnetismo" -- "microonde"
"visualisation" -- "bioinformatics"
"visualisation" -- "mobile forensics"
"universal design" -- "design emotion"
"universal design" -- "accessibility"
"gtpases" -- "mathematical biology"
"behavioral accounting" -- "management accounting"
"fotografia" -- "cinema"
"fotografia" -- "imaginário"
"emdr" -- "open science"
"code optimization" -- "compilers"
"sociocultural linguistics" -- "gender sexuality"
"mobile social networks" -- "privacy"
"design intelligence" -- "materials science"
"inland fisheries" -- "nutrition"
"hydrogen exchange" -- "mass spectrometry"
"hydrogen exchange" -- "protein conformation"
"neoclassical realism" -- "international relations"
"ocular genetics" -- "glaucoma"
"ethnic identity" -- "racial"
"ethnic identity" -- "identity development"
"efflux pumps" -- "drug resistance"
"sistemas colaborativos" -- "educação a distância"
"ocean color remote sensing" -- "ocean optics"
"social commerce" -- "e-commerce"
"phytohormones" -- "plant development"
"transport processes" -- "remediation"
"physics of cancer" -- "cell mechanics"
"paediatric infectious diseases" -- "tuberculosis"
"transformative learning" -- "intergenerational learning"
"transformative learning" -- "teacher resilience"
"therapeutics" -- "environmental sensors"
"therapeutics" -- "cancer biology"
"biomimicry" -- "supramolecular chemistry"
"relay" -- "wireless communications"
"derecho de sociedades" -- "derecho mercantil"
"lca" -- "energy"
"ostracism" -- "social exclusion"
"introduced species" -- "marine biology"
"interventional neuroradiology" -- "cerebrovascular disease"
"makine öğrenmesi" -- "veri madenciliği"
"makine öğrenmesi" -- "yapay sinir ağları"
"electric power transmission" -- "distributed"
"second language acquisition (sla)" -- "vocabulary learning"
"clinical applications" -- "medical imaging"
"protein import" -- "mitochondria"
"geospatial analytics" -- "social"
"distributed collaborative systems" -- "semantic web"
"distributed collaborative systems" -- "optimistic replication"
"fisheries interactions" -- "behavioural ecology"
"confinement effect" -- "molecular simulation"
"vaccine development" -- "immunology"
"wind farm control" -- "wind energy"
"primate evolution" -- "human evolution"
"quality" -- "meat production"
"quality" -- "animal production system"
"quality" -- "survival models"
"quality" -- "patient safety"
"quality" -- "disparities"
"quality" -- "safety"
"interpersonal trust" -- "organizational behavior"
"many-body systems" -- "quantum"
"transdermal" -- "drug delivery"
"icme" -- "steel"
"chikungunya" -- "influenza"
"quantum plasmonics" -- "quantum optics"
"medical surgical nursing" -- "nephrology"
"iterative learning control" -- "model predictive control"
"hydrology" -- "ecohydrology"
"hydrology" -- "ecological engineering"
"hydrology" -- "hydrogeology"
"hydrology" -- "climate"
"hydrology" -- "surface water hydrology"
"hydrology" -- "water engineering"
"hydrology" -- "hydrological modeling"
"hydrology" -- "remote sensing gis"
"hydrology" -- "nutrient transport"
"hydrology" -- "hydrometeorology"
"hydrology" -- "catchment science"
"hydrology" -- "fluvial geomorphology"
"hydrology" -- "water use"
"hydrology" -- "dam break"
"hydrology" -- "peatlands"
"hydrology" -- "soil physics"
"hydrology" -- "sediment transport"
"hydrology" -- "hydraulic modeling"
"hydrology" -- "uncertainty analysis"
"hydrology" -- "climate change impacts"
"hydrology" -- "watershed management"
"hydrology" -- "flood modelling"
"hydrology" -- "agricultural water management"
"hydrology" -- "erosion"
"hydrology" -- "environmental sensing"
"hydrology" -- "floods"
"hydrology" -- "hydroclimatology"
"hydrology" -- "water resources engineering"
"hydrology" -- "contaminant transport"
"hydrology" -- "geomorphology"
"hydrology" -- "climate change"
"hydrology" -- "catchment hydrology"
"hydrology" -- "water resources"
"hydrology" -- "urban hydrology"
"hydrology" -- "water resources management"
"hydrology" -- "hydroclimate"
"hydrology" -- "watershed modeling"
"hydrology" -- "cold regions"
"hydrology" -- "tracers"
"hydrology" -- "vadose zone"
"hydrology" -- "rainfall"
"pharma" -- "bio"
"evolution of human behavior" -- "mate selection"
"resource curse" -- "democratization"
"cancer metabolism" -- "systems biology"
"foraging behavior" -- "diet selection"
"foraging behavior" -- "primate ecology"
"glacier hydrology" -- "glaciology"
"fault tolerant system design" -- "embedded system design"
"civil law" -- "private law"
"sociological methodology" -- "place marketing"
"symptom management" -- "oncology nursing"
"symptom management" -- "pain"
"chirurgia generale" -- "scienze mediche"
"chirurgia generale" -- "chirurgia vascolare"
"chirurgia generale" -- "chirurgia endocrina"
"global optimisation" -- "materials chemistry"
"augmentative communication" -- "alternative"
"augmentative communication" -- "human-computer interaction"
"terahertz technology" -- "photonics"
"port cities" -- "spain"
"port cities" -- "urban governance"
"mesh networks" -- "wireless networks"
"peptidomimetics" -- "medicinal chemistry"
"www" -- "databases"
"infiammazione" -- "tumori"
"physiological flows" -- "dns"
"firm behavior" -- "retailing"
"organizzazione aziendale" -- "stress"
"organizzazione aziendale" -- "psicologia del lavoro"
"lithics" -- "archaeology"
"lithics" -- "andean archaeology"
