"perceptual decision making" -- "attention"
"dwi" -- "fmri"
"m2m communications" -- "smart grid"
"molecular imaging" -- "cancer imaging"
"molecular imaging" -- "multi-modality imaging"
"molecular imaging" -- "contrast agents"
"molecular imaging" -- "nuclear medicine"
"propeller" -- "hydrodynamics"
"differential-algebraic equations" -- "control theory"
"turkish" -- "discourse"
"vehicle" -- "control"
"digital inclusion" -- "librarianship"
"secondo interesse" -- "primo interesse"
"optical solitons" -- "nonlinear optics"
"configuration" -- "supply chain design"
"bioorganic chemistry" -- "chemical biology"
"industry 4.0" -- "internet of things"
"securitisation" -- "rating"
"securitisation" -- "sociology of the body"
"oil pollution" -- "soil remediation"
"child language" -- "linguistics"
"theoretical biophysics" -- "statistical mechanics"
"seizures" -- "epilepsy"
"cognitive modeling" -- "response time"
"applied electromagnetics" -- "antennas"
"interactive narrative" -- "hypertext"
"splicing" -- "transcription"
"critical infrastructure protection" -- "cyber security"
"oil sands" -- "oil gas"
"code-switching" -- "bilingualism"
"user-generated content" -- "social networks"
"knowledge work" -- "productivity"
"fire safety engineering" -- "evacuation modelling"
"mirror neurons" -- "imitation"
"pobreza" -- "desigualdad"
"riesgos geológicos" -- "ingeniería del terreno"
"phosphorus" -- "nitrogen"
"lingvistica" -- "studii culturale"
"ukraine" -- "russia"
"urban planning" -- "strategic spatial planning"
"urban planning" -- "urban design"
"urban planning" -- "shrinking cities"
"urban planning" -- "housing"
"urban planning" -- "landscape planning"
"urban planning" -- "urban redevelopment"
"urban planning" -- "planning theory"
"urban planning" -- "housing markets"
"urban planning" -- "public participation"
"urban planning" -- "housing policy"
"urban planning" -- "urbanistica"
"urban planning" -- "urban form"
"urban planning" -- "city planning"
"urban planning" -- "sustainable urban development"
"urban planning" -- "social equity"
"urban planning" -- "sustainable cities"
"colon" -- "surgery"
"imitation" -- "observational learning"
"human factors psychology" -- "human-computer interaction"
"sport concussion" -- "neuropsychology"
"redox signaling" -- "oxidative stress"
"near surface geophysics" -- "hydrogeophysics"
"discrete math" -- "computer science"
"biomarker discovery" -- "clinical diagnostics"
"biomarker discovery" -- "proteomics"
"lcd" -- "optics"
"uncanny valley" -- "human-computer interaction"
"supramolecular" -- "materials chemistry"
"hemşirelik" -- "ebelik"
"hemşirelik" -- "halk sağlığı"
"critical ethnography" -- "immigrant education"
"new institutional economics" -- "political economy"
"pollen" -- "neogene"
"tmj" -- "maxillofacial surgery"
"image video processing" -- "computer vision"
"oil gas" -- "unconventional resources"
"african american literature" -- "american literature"
"bpm@qut" -- "business process management"
"phonological processing" -- "child language disorders"
"electronic correlations" -- "interfaces"
"obesidade" -- "inflamação"
"obesidade" -- "nutrición"
"connexins" -- "heart"
"valutazione" -- "ricerca educativa"
"corporate environmental management" -- "sustainable innovation"
"corporate environmental management" -- "energy policy"
"seismic processing" -- "seismic interpretation"
"spatial pattern analysis" -- "disturbance"
"object tracking" -- "computer vision"
"life cycle" -- "pyrolysis"
"pat" -- "chemometrics"
"learner corpora" -- "second language acquisition"
"embedded control systems" -- "cyber-physical systems"
"optical system design" -- "ultrafast lasers"
"e-waste" -- "recycling"
"multimodality" -- "discourse analysis"
"multimodality" -- "media globalization"
"plant genetics" -- "plant breeding"
"frequency selective surfaces" -- "metamaterials"
"media law" -- "policy"
"reliability modeling" -- "aerosol science"
"staffing" -- "recruitment"
"calcium homeostasis" -- "neurotransmission"
"flow through porous media" -- "energy"
"scientific reasoning" -- "science education"
"vehicle safety" -- "injury biomechanics"
"separation technology" -- "chemical engineering"
"organogenesis" -- "developmental biology"
"complement" -- "immunology"
"complement" -- "immune evasion"
"long term conditions" -- "health behaviour"
"neonatologia" -- "pediatria"
"cryogenics" -- "heat transfer"
"photocatalytic" -- "nanomaterials"
"service science" -- "information systems"
"microphotonics" -- "imaging"
"endometrium" -- "endometriosis"
"flow in porous media" -- "unconventional energy resources"
"flow in porous media" -- "pore-scale modeling"
"flow in porous media" -- "uncertainty modeling"
"flow in porous media" -- "viscous fingering"
"flow in porous media" -- "reservoir simulation"
"flow in porous media" -- "stochastic pdes"
"uhpc" -- "uhpfrc"
"uhpc" -- "frp"
"genome engineering" -- "synthetic biology"
"erectile dysfunction" -- "reconstruction"
"training" -- "vocational education"
"training" -- "volleyball"
"transcriptional regulation" -- "plant photobiology"
"transcriptional regulation" -- "cell cycle control"
"transcriptional regulation" -- "computational biology"
"transcriptional regulation" -- "glycosyltransferases"
"bioproducts" -- "biofuels"
"gas dynamics" -- "fluid mechanics"
"gas dynamics" -- "fluid turbulence"
"food waste" -- "sustainability"
"prestressed concrete" -- "structural engineering"
"photodetectors" -- "photodiode"
"piezoelectric actuators" -- "power systems"
"human dimensions" -- "vulnerability"
"democracy promotion" -- "energy politics"
"restorative environments" -- "environmental psychology"
"order" -- "topology"
"biologia molecular" -- "parasitologia"
"biologia molecular" -- "bioquímica"
"biologia molecular" -- "hematologia"
"biologia molecular" -- "genética"
"biologia molecular" -- "genética humana"
"biologia molecular" -- "biologia do desenvolvimento"
"photoredox catalysis" -- "organic chemistry"
"pediatric epilepsy" -- "child neurology"
"gestión pública" -- "administración pública"
"gestión pública" -- "ciencia política"
"gestión pública" -- "recursos humanos"
"regional tectonics" -- "geochronology"
"thermal physics" -- "heat transfer"
"nacionalismo" -- "historia de la ciencia"
"literacy development" -- "language"
"structure-activity relationship" -- "computational chemistry"
"quantum metrology" -- "quantum information"
"communication education" -- "instructional communication"
"communication education" -- "relational communication"
"latent variable models" -- "psychometrics"
"craniofacial biology" -- "human identification"
"craniofacial biology" -- "biological anthropology"
"children s" -- "young adult literature"
"solar physics" -- "helioseismology"
"solar physics" -- "space physics"
"solar physics" -- "mhd waves"
"solar physics" -- "solar flares"
"fire ecology" -- "flammability"
"fire ecology" -- "rangeland ecology"
"fire ecology" -- "terrestrial ecosystem ecology"
"fire ecology" -- "mediterranean ecosystems"
"ipsc" -- "genetics"
"arithmetic circuits" -- "computer architecture"
"process-aware information systems" -- "business process management"
"respiratory tract infections" -- "tb"
"nutrient removal" -- "wastewater treatment"
"aesthetic surgery" -- "craniofacial surgery"
"performing arts" -- "film"
"desarrollo rural" -- "población"
"desarrollo rural" -- "desarrollo local"
"missing data" -- "multiple imputation"
"physical oceanography" -- "coastal oceanography"
"physical oceanography" -- "ocean modeling"
"physical oceanography" -- "climate"
"physical oceanography" -- "arctic climate"
"physical oceanography" -- "tides"
"physical oceanography" -- "geophysical fluid dynamics"
"physical oceanography" -- "internal waves"
"physical oceanography" -- "arctic ocean"
"physical oceanography" -- "wave-current interaction"
"clinical biochemistry" -- "molecular biology"
"international criminal law" -- "international law"
"informatyka" -- "matematyka"
"informatyka" -- "energetyka"
"quantitative risk management" -- "actuarial science"
"representações sociais" -- "epistemologia"
"tumorigenesis" -- "clinical oncology"
"tumorigenesis" -- "signal transduction"
"marketing theory" -- "systems theory"
"variable stars" -- "reactor"
"eusociality" -- "termites"
"change detection" -- "remote sensing"
"schizophrenia" -- "synesthesia"
"schizophrenia" -- "psychosis"
"schizophrenia" -- "hallucinations"
"schizophrenia" -- "bipolar disorder"
"schizophrenia" -- "affective disorders multidisciplinary research"
"schizophrenia" -- "supernatural beliefs"
"schizophrenia" -- "antipsychotics"
"schizophrenia" -- "nmda receptor"
"schizophrenia" -- "schizotypy"
"cambodia" -- "southeast asia"
"health care utilization" -- "racial"
"social entrepreneurship" -- "social investment"
"social entrepreneurship" -- "hybrid organizations"
"social entrepreneurship" -- "entrepreneurship"
"space" -- "place"
"space" -- "architecture"
"polar climate" -- "cloud dynamics"
"polar climate" -- "sea ice"
"combinatoria" -- "geometria"
"atomic force microscopy" -- "biophysics"
"danio rerio" -- "aquaculture nutrition"
"rsc" -- "gobierno corporativo"
"renewable chemicals" -- "lignin"
"educação a distância" -- "tecnologias digitais"
"educação a distância" -- "gestão de pessoas"
"error correcting codes" -- "information theory"
"priming" -- "consumer behavior"
"institutions" -- "commons"
"institutions" -- "politiques publiques"
"institutions" -- "political economy"
"metal-air batteries" -- "electrochemistry"
"reuse" -- "interdisciplinary"
"reuse" -- "wastewater treatment"
"chronic disease prevention" -- "sport exercise medicine"
"snare" -- "integrins"
"cochlear mechanics" -- "acoustics"
"allergic rhinitis" -- "asthma"
"supramolecule" -- "organic chemistry"
"multi-omics" -- "systems biology"
"chinese management" -- "strategic leadership"
"insect control" -- "synthetic biology"
"neutron scattering" -- "pressure"
"neutron scattering" -- "x-ray"
"neutron scattering" -- "x-ray scattering"
"causal reasoning" -- "inductive inference"
"volatility modeling" -- "financial econometrics"
"political economy of communication" -- "media policy"
"children s geographies" -- "sustainability"
"traffic modeling" -- "intelligent transportation systems"
"neurofeedback" -- "cognitive enhancement"
"neurofeedback" -- "response inhibition"
"neurofeedback" -- "brain computer interface"
"neurofeedback" -- "biofeedback"
"neck cancer" -- "head"
"coral reefs" -- "climate change"
"coral reefs" -- "corals"
"coral reefs" -- "sponges"
"li batteries" -- "energy storage"
"web services" -- "mobile apps"
"web services" -- "rest"
"web services" -- "cloud computing"
"sense of agency" -- "motivation"
"human learning" -- "memory"
"academic advising" -- "science education"
"tobacco history" -- "agnotology"
"equilibrium problems" -- "variational inequalities"
"cardio-oncology" -- "oncology"
"paleolithic archaeology" -- "lithic technology"
"ethnic minorities" -- "education"
"ambiente" -- "energia"
"ambiente" -- "ecologia"
"ambiente" -- "veterinaria"
"model identification" -- "control"
"insecticide resistance" -- "entomology"
"mobile services" -- "ubiquitous computing"
"generation" -- "energy storage"
"migrant health" -- "nutrition"
"metodología de la investigación" -- "historia"
"geocomputation" -- "gis"
"organization science" -- "management"
"economics of crime" -- "labor economics"
"neuropharmacology" -- "neurotransmitters"
"digital literacy" -- "sociocultural theory"
"digital literacy" -- "multiliteracies"
"contaminants" -- "hydrogeology"
"лингвистика" -- "методика"
"лингвистика" -- "linguistics"
"historical climatology" -- "space climate"
"pathogens" -- "microbiology"
"pathogens" -- "listeria"
"neurobiologie" -- "psychiatry"
"radiation chemistry" -- "physical chemistry"
"paleoseismology" -- "structural geology"
"printable electronics" -- "femtosecond laser"
"prodrugs" -- "drug delivery"
"quaternary environments" -- "palynology"
"catalyst" -- "nanomaterials"
"fiber reinforced composites" -- "nanocomposites"
"black" -- "african american"
"workers compensation" -- "health"
